fecha_contacto,cliente,forma_pago,ubicacion,m2_referencia,tipologia,sistema_constructivo,tipo_entrega,revestimiento,estado_lead,distancia_km,precio_cotizado
2024-03-02,Diego Lopez,FINANCIACION PROPIA,BUENOS AIRES,45.3,MINIMALISTA,E.E,OBRA GRIS,MADERA,POTABLE,699.0,14223000.0
2024-08-13,Jorge Rodriguez,PLAN 36-60,SANTIAGO DEL ESTERO,35.1,AMERICANA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,483.0,10719000.0
2024-06-01,Diego Garcia,CONTADO,ALTA GRACIA,91.5,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,47.0,26611000.0
2025-12-11,Carla Rodriguez,PLAN 36-60,CARLOS PAZ,21.9,MINIMALISTA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,52.0,10567000.0
2025-07-17,Luis Martinez,FINANCIACION PROPIA,LA PLATA,49.3,AMERICANA,S.F,OBRA GRIS,LADRILLO,POTABLE,737.0,18612000.0
2026-02-10,Diego Perez,PLAN 36-60,MENDIOLAZA,56.7,MINIMALISTA,W.F,LLAVE EN MANO,MADERA,POTABLE,26.0,26148000.0
2025-07-24,Carla Gonzalez,PLAN 36-60,SANTIAGO DEL ESTERO,88.0,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,425.0,43247000.0
2025-08-06,Maria Romero,CONTADO,MENDIOLAZA,72.9,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,POTABLE,33.0,21100000.0
2025-10-21,Diego Perez,PLAN 36-60,BUENOS AIRES,21.6,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,689.0,10235000.0
2025-07-28,Luis Gonzalez,CONTADO,CÓRDOBA CAPITAL,54.9,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,9.0,27170000.0
2024-11-05,Jorge Garcia,NO SABE,MENDIOLAZA,55.4,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,45.0,27523000.0
2024-08-30,Jorge Perez,PLAN 36-60,CÓRDOBA CAPITAL,50.4,MINIMALISTA,E.E,LLAVE EN MANO,,POTABLE,28.0,19866000.0
2025-05-07,Ana Rodriguez,CONTADO,BUENOS AIRES,,MINIMALISTA,E.E,OBRA GRIS,,VENDIDO,724.0,20218000.0
2024-12-31,Diego Garcia,PLAN 36-60,CARLOS PAZ,26.8,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,52.0,12770000.0
2024-11-25,Luis Perez,FINANCIACION PROPIA,ALTA GRACIA,46.8,AMERICANA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,58.0,15437000.0
2024-04-16,Luis Romero,CONTADO,LA PLATA,64.6,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,VENDIDO,778.0,26055000.0
2024-08-13,Diego Gonzalez,PLAN 36-60,CARLOS PAZ,68.6,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,43.0,33517000.0
2024-08-05,Lucia Lopez,PLAN 36-60,LA PLATA,58.0,AMERICANA,S.F,LLAVE EN MANO,MADERA,VENDIDO,798.0,29123000.0
2026-01-22,Elena Rodriguez,FINANCIACION PROPIA,MENDIOLAZA,49.2,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,34.0,19287000.0
2025-05-20,Jorge Lopez,CONTADO,LA PLATA,52.6,CABAÑA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,723.0,25098000.0
2024-09-15,Carla Romero,PLAN 36-60,MENDIOLAZA,69.8,MINIMALISTA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,29.0,32575000.0
2026-02-12,Carla Rodriguez,NO SABE,LA PLATA,55.7,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,755.0,26199000.0
2025-05-31,Diego Garcia,NO SABE,SANTIAGO DEL ESTERO,34.2,AMERICANA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,494.0,13897000.0
2026-02-11,Elena Lopez,PLAN 36-60,CARLOS PAZ,30.3,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,46.0,11932000.0
2024-02-23,Juan Romero,NO SABE,SANTIAGO DEL ESTERO,25.2,AMERICANA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,488.0,7935000.0
2024-02-16,Maria Perez,PLAN 36-60,ALTA GRACIA,84.1,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,54.0,26745000.0
2025-12-27,Juan Romero,PLAN 36-60,ALTA GRACIA,71.1,CABAÑA,W.F,LLAVE EN MANO,MADERA,POTABLE,43.0,31841000.0
2025-11-19,Maria Perez,PLAN 36-60,CÓRDOBA CAPITAL,,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,23.0,20902000.0
2025-06-04,Carla Gonzalez,CONTADO,CÓRDOBA CAPITAL,45.9,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,10.0,17637000.0
2024-04-08,Lucia Lopez,PLAN 36-60,CÓRDOBA CAPITAL,43.5,CABAÑA,E.E,OBRA GRIS,LADRILLO,VENDIDO,15.0,11848000.0
2024-01-20,Elena Sanchez,PLAN 36-60,BUENOS AIRES,76.9,CABAÑA,W.F,OBRA GRIS,MADERA,POTABLE,741.0,24943000.0
2026-01-22,Ana Sanchez,FINANCIACION PROPIA,ALTA GRACIA,93.1,AMERICANA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,50.0,32179000.0
2025-07-26,Diego Romero,FINANCIACION PROPIA,LA PLATA,42.9,AMERICANA,S.F,LLAVE EN MANO,MADERA,POTABLE,793.0,21207000.0
2025-05-04,Lucia Rodriguez,PLAN 36-60,MENDIOLAZA,77.8,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,26.0,35404000.0
2025-02-22,Maria Romero,CONTADO,BUENOS AIRES,55.6,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,735.0,16130000.0
2025-11-20,Ana Romero,CONTADO,LA PLATA,50.8,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,730.0,20751000.0
2024-03-02,Elena Gonzalez,CONTADO,CARLOS PAZ,85.1,AMERICANA,E.E,LLAVE EN MANO,MADERA,POTABLE,44.0,32654000.0
2024-05-24,Jorge Rodriguez,PLAN 36-60,ALTA GRACIA,54.8,CABAÑA,E.E,OBRA GRIS,,NO LE INTERESA,46.0,15614000.0
2024-08-03,Jorge Gonzalez,CONTADO,MENDIOLAZA,60.9,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,34.0,28468000.0
2024-01-03,Ana Garcia,PLAN 36-60,MENDIOLAZA,60.0,MINIMALISTA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,23.0,21315000.0
2024-06-08,Pedro Martinez,CONTADO,MENDIOLAZA,22.5,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,29.0,7952000.0
2026-01-08,Luis Rodriguez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,60.8,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,22.0,27906000.0
2026-02-19,Jorge Romero,FINANCIACION PROPIA,MENDIOLAZA,43.7,AMERICANA,E.E,OBRA GRIS,LADRILLO,POTABLE,34.0,11709000.0
2024-04-29,Carla Lopez,PLAN 36-60,MENDIOLAZA,26.6,MINIMALISTA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,34.0,12591000.0
2024-03-29,Elena Garcia,CONTADO,ALTA GRACIA,44.7,CABAÑA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,48.0,13879000.0
2024-11-24,Carla Martinez,PLAN 36-60,LA PLATA,44.5,CABAÑA,E.E,LLAVE EN MANO,,POTABLE,804.0,17901000.0
2025-08-02,Ana Romero,,BUENOS AIRES,75.6,CABAÑA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,753.0,37259000.0
2024-12-22,Lucia Sanchez,CONTADO,BUENOS AIRES,33.7,MINIMALISTA,W.F,LLAVE EN MANO,LADRILLO,POTABLE,696.0,16288000.0
2025-09-01,Juan Romero,CONTADO,LA PLATA,39.2,CABAÑA,S.F,LLAVE EN MANO,MADERA,POTABLE,745.0,19542000.0
2024-09-23,Carla Romero,CONTADO,SANTIAGO DEL ESTERO,59.7,CABAÑA,S.F,OBRA GRIS,LADRILLO,POTABLE,455.0,22516000.0
2025-09-08,Pedro Perez,CONTADO,SANTIAGO DEL ESTERO,28.5,CABAÑA,W.F,OBRA GRIS,MADERA,POTABLE,410.0,10139000.0
2024-11-18,Jorge Rodriguez,CONTADO,CARLOS PAZ,41.8,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,38.0,19792000.0
2025-09-26,Maria Perez,CONTADO,ALTA GRACIA,21.7,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,41.0,10205000.0
2025-06-24,Carla Martinez,PLAN 36-60,SANTIAGO DEL ESTERO,73.4,AMERICANA,S.F,LLAVE EN MANO,MADERA,POTABLE,422.0,37885000.0
2025-10-10,Juan Martinez,NO SABE,SANTIAGO DEL ESTERO,49.0,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,464.0,16974000.0
2024-07-13,Maria Romero,,ALTA GRACIA,54.7,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,45.0,16002000.0
2026-01-07,Luis Garcia,CONTADO,LA PLATA,73.3,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,727.0,29907000.0
2024-11-27,Lucia Garcia,PLAN 36-60,CARLOS PAZ,40.6,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,52.0,11776000.0
2024-06-18,Jorge Rodriguez,FINANCIACION PROPIA,CARLOS PAZ,48.8,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,52.0,18346000.0
2025-06-04,Pedro Romero,CONTADO,CARLOS PAZ,33.9,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,52.0,10528000.0
2025-04-07,Maria Sanchez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,33.8,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,439.0,13378000.0
2024-02-09,Juan Garcia,PLAN 36-60,LA PLATA,36.6,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,716.0,19796000.0
2025-06-20,Ana Martinez,NO SABE,CARLOS PAZ,45.2,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,POTABLE,33.0,16988000.0
2024-09-17,Juan Garcia,FINANCIACION PROPIA,ALTA GRACIA,47.3,MINIMALISTA,W.F,OBRA GRIS,MADERA,VENDIDO,42.0,14682000.0
2025-01-29,Diego Romero,PLAN 36-60,CARLOS PAZ,60.8,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,35.0,24914000.0
2024-08-13,Maria Sanchez,PLAN 36-60,BUENOS AIRES,37.2,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,747.0,11084000.0
2024-05-03,Diego Sanchez,,CÓRDOBA CAPITAL,61.4,CABAÑA,W.F,OBRA GRIS,MADERA,VENDIDO,30.0,20549000.0
2024-02-07,Elena Perez,CONTADO,LA PLATA,64.7,CABAÑA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,792.0,27318000.0
2024-11-23,Jorge Gonzalez,PLAN 36-60,CÓRDOBA CAPITAL,45.6,CABAÑA,W.F,LLAVE EN MANO,LADRILLO,POTABLE,23.0,19644000.0
2024-09-07,Diego Romero,CONTADO,LA PLATA,38.9,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,769.0,15618000.0
2024-06-24,Juan Martinez,CONTADO,MENDIOLAZA,56.7,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,39.0,18379000.0
2025-08-24,Lucia Romero,CONTADO,ALTA GRACIA,50.9,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,59.0,15053000.0
2025-03-29,Ana Gonzalez,FINANCIACION PROPIA,MENDIOLAZA,59.4,AMERICANA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,35.0,21632000.0
2024-02-06,Lucia Martinez,CONTADO,SANTIAGO DEL ESTERO,86.4,CABAÑA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,415.0,30276000.0
2024-11-11,Lucia Gonzalez,CONTADO,SANTIAGO DEL ESTERO,56.4,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,416.0,18571000.0
2025-11-18,Ana Perez,PLAN 36-60,MENDIOLAZA,,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,35.0,13488000.0
2025-08-15,Maria Martinez,,LA PLATA,37.2,AMERICANA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,743.0,13400000.0
2024-04-23,Maria Rodriguez,CONTADO,CARLOS PAZ,38.0,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,53.0,18402000.0
2024-02-09,Jorge Sanchez,NO SABE,CÓRDOBA CAPITAL,25.7,MINIMALISTA,W.F,LLAVE EN MANO,,NO LE INTERESA,20.0,11206000.0
2024-10-27,Elena Lopez,PLAN 36-60,ALTA GRACIA,73.7,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,52.0,29684000.0
2024-08-11,Elena Martinez,PLAN 36-60,CARLOS PAZ,20.0,AMERICANA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,30.0,6458000.0
2024-11-13,Elena Martinez,CONTADO,SANTIAGO DEL ESTERO,64.8,MINIMALISTA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,450.0,28622000.0
2024-12-14,Lucia Martinez,PLAN 36-60,CARLOS PAZ,37.6,MINIMALISTA,E.E,OBRA GRIS,MADERA,POTABLE,41.0,10897000.0
2024-04-24,Elena Rodriguez,FINANCIACION PROPIA,MENDIOLAZA,44.8,MINIMALISTA,E.E,OBRA GRIS,MADERA,POTABLE,38.0,12709000.0
2025-11-28,Diego Gonzalez,CONTADO,MENDIOLAZA,37.0,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,30.0,12981000.0
2024-11-18,Jorge Martinez,CONTADO,BUENOS AIRES,83.9,AMERICANA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,758.0,25056000.0
2025-07-21,Pedro Gonzalez,,BUENOS AIRES,55.3,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,727.0,22780000.0
2024-02-09,Maria Garcia,NO SABE,CÓRDOBA CAPITAL,70.8,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,21.0,23168000.0
2024-02-09,Carla Rodriguez,CONTADO,SANTIAGO DEL ESTERO,81.0,AMERICANA,S.F,LLAVE EN MANO,MADERA,VENDIDO,492.0,41914000.0
2026-01-18,Maria Romero,FINANCIACION PROPIA,LA PLATA,58.3,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,VENDIDO,810.0,17738000.0
2024-10-15,Carla Martinez,CONTADO,ALTA GRACIA,31.1,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,40.0,15543000.0
2024-09-18,Luis Gonzalez,PLAN 36-60,MENDIOLAZA,50.6,AMERICANA,E.E,OBRA GRIS,MADERA,POTABLE,40.0,14390000.0
2024-08-03,Maria Sanchez,PLAN 36-60,ALTA GRACIA,40.2,AMERICANA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,39.0,14173000.0
2024-05-26,Maria Gonzalez,CONTADO,SANTIAGO DEL ESTERO,44.9,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,446.0,17671000.0
2024-12-01,Luis Rodriguez,PLAN 36-60,LA PLATA,53.1,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,720.0,24606000.0
2024-06-16,Elena Lopez,CONTADO,BUENOS AIRES,52.3,CABAÑA,S.F,LLAVE EN MANO,MADERA,POTABLE,722.0,27226000.0
2024-04-01,Maria Sanchez,CONTADO,MENDIOLAZA,63.2,CABAÑA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,32.0,22003000.0
2024-12-18,Diego Garcia,FINANCIACION PROPIA,CÓRDOBA CAPITAL,66.1,CABAÑA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,21.0,18365000.0
2025-07-24,Luis Sanchez,CONTADO,ALTA GRACIA,52.3,CABAÑA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,52.0,18860000.0
2025-07-24,Ana Rodriguez,PLAN 36-60,SANTIAGO DEL ESTERO,63.1,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,462.0,24171000.0
2025-11-11,Pedro Rodriguez,CONTADO,ALTA GRACIA,44.0,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,42.0,22010000.0
2026-02-19,Luis Perez,CONTADO,BUENOS AIRES,81.3,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,744.0,40909000.0
2024-12-28,Diego Lopez,PLAN 36-60,BUENOS AIRES,43.7,MINIMALISTA,W.F,OBRA GRIS,MADERA,POTABLE,715.0,14957000.0
2025-07-10,Ana Romero,PLAN 36-60,LA PLATA,78.9,AMERICANA,W.F,OBRA GRIS,MADERA,POTABLE,759.0,26121000.0
2024-12-10,Ana Sanchez,CONTADO,CÓRDOBA CAPITAL,25.5,AMERICANA,S.F,LLAVE EN MANO,LADRILLO,VENDIDO,30.0,12130000.0
2025-11-23,Carla Sanchez,PLAN 36-60,BUENOS AIRES,47.4,AMERICANA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,688.0,16025000.0
2024-06-18,Juan Lopez,CONTADO,LA PLATA,48.4,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,763.0,17888000.0
2024-12-21,Carla Romero,FINANCIACION PROPIA,BUENOS AIRES,60.6,CABAÑA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,728.0,17947000.0
2024-07-09,Pedro Romero,CONTADO,MENDIOLAZA,72.2,CABAÑA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,23.0,36023000.0
2025-10-28,Diego Garcia,CONTADO,CARLOS PAZ,30.0,AMERICANA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,39.0,14690000.0
2025-02-25,Pedro Perez,FINANCIACION PROPIA,LA PLATA,32.8,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,790.0,16444000.0
2025-11-30,Juan Rodriguez,CONTADO,LA PLATA,27.0,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,VENDIDO,734.0,9932000.0
2024-01-07,Carla Martinez,CONTADO,ALTA GRACIA,81.4,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,47.0,30987000.0
2024-05-12,Juan Garcia,CONTADO,BUENOS AIRES,61.0,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,723.0,24440000.0
2026-01-16,Lucia Garcia,FINANCIACION PROPIA,LA PLATA,33.3,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,777.0,10048000.0
2025-07-10,Maria Garcia,NO SABE,SANTIAGO DEL ESTERO,46.1,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,473.0,17595000.0
2026-01-30,Luis Gonzalez,FINANCIACION PROPIA,MENDIOLAZA,78.6,CABAÑA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,42.0,22924000.0
2024-01-31,Lucia Sanchez,PLAN 36-60,ALTA GRACIA,49.4,CABAÑA,E.E,OBRA GRIS,,VENDIDO,45.0,13322000.0
2025-06-18,Diego Romero,PLAN 36-60,ALTA GRACIA,48.3,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,53.0,22015000.0
2025-03-01,Ana Rodriguez,PLAN 36-60,CARLOS PAZ,39.4,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,48.0,13346000.0
2025-01-28,Luis Romero,CONTADO,MENDIOLAZA,34.5,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,28.0,9942000.0
2025-11-02,Pedro Sanchez,NO SABE,SANTIAGO DEL ESTERO,78.7,AMERICANA,E.E,OBRA GRIS,LADRILLO,POTABLE,497.0,22763000.0
2024-12-28,Jorge Perez,CONTADO,MENDIOLAZA,88.5,CABAÑA,S.F,OBRA GRIS,,NO LE INTERESA,42.0,30234000.0
2025-03-12,Juan Lopez,CONTADO,LA PLATA,35.3,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,739.0,13166000.0
2025-10-31,Ana Romero,FINANCIACION PROPIA,CARLOS PAZ,83.1,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,47.0,27462000.0
2025-07-04,Jorge Lopez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,45.3,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,472.0,18984000.0
2024-03-22,Carla Martinez,CONTADO,CARLOS PAZ,65.7,CABAÑA,E.E,LLAVE EN MANO,MADERA,POTABLE,41.0,25890000.0
2024-12-21,Juan Romero,CONTADO,MENDIOLAZA,83.2,CABAÑA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,42.0,31439000.0
2024-09-14,Maria Lopez,PLAN 36-60,CÓRDOBA CAPITAL,52.1,MINIMALISTA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,22.0,21344000.0
2025-12-18,Lucia Perez,PLAN 36-60,MENDIOLAZA,48.4,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,36.0,14075000.0
2025-08-11,Lucia Perez,PLAN 36-60,LA PLATA,71.0,AMERICANA,S.F,OBRA GRIS,,NO LE INTERESA,732.0,25015000.0
2025-06-07,Luis Gonzalez,CONTADO,CARLOS PAZ,32.8,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,40.0,11028000.0
2024-10-21,Elena Rodriguez,NO SABE,CÓRDOBA CAPITAL,77.9,AMERICANA,E.E,LLAVE EN MANO,MADERA,POTABLE,16.0,30670000.0
2024-08-11,Lucia Sanchez,CONTADO,LA PLATA,57.9,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,783.0,20977000.0
2025-06-08,Lucia Martinez,PLAN 36-60,CARLOS PAZ,43.4,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,45.0,14927000.0
2024-02-15,Lucia Sanchez,PLAN 36-60,CARLOS PAZ,42.9,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,32.0,11562000.0
2025-10-28,Maria Lopez,CONTADO,MENDIOLAZA,27.3,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,28.0,10032000.0
2024-04-22,Jorge Gonzalez,CONTADO,BUENOS AIRES,44.3,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,707.0,19034000.0
2024-08-20,Diego Martinez,NO SABE,CARLOS PAZ,49.7,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,48.0,16792000.0
2024-01-17,Carla Romero,FINANCIACION PROPIA,CARLOS PAZ,33.8,CABAÑA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,49.0,9897000.0
2024-12-25,Jorge Gonzalez,CONTADO,ALTA GRACIA,54.1,CABAÑA,E.E,OBRA GRIS,LADRILLO,POTABLE,47.0,15497000.0
2024-08-10,Juan Lopez,FINANCIACION PROPIA,BUENOS AIRES,64.5,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,672.0,32044000.0
2025-11-30,Maria Gonzalez,CONTADO,CARLOS PAZ,,MINIMALISTA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,37.0,18461000.0
2025-03-23,Juan Rodriguez,PLAN 36-60,MENDIOLAZA,68.3,AMERICANA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,26.0,22248000.0
2024-12-30,Pedro Lopez,CONTADO,ALTA GRACIA,38.9,MINIMALISTA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,55.0,11357000.0
2025-11-05,Luis Garcia,FINANCIACION PROPIA,ALTA GRACIA,75.1,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,39.0,21022000.0
2024-11-21,Ana Perez,CONTADO,CÓRDOBA CAPITAL,57.4,AMERICANA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,17.0,16099000.0
2025-04-11,Lucia Perez,PLAN 36-60,LA PLATA,85.9,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,777.0,24690000.0
2025-02-17,Juan Martinez,FINANCIACION PROPIA,ALTA GRACIA,103.3,AMERICANA,S.F,OBRA GRIS,MADERA,POTABLE,59.0,35836000.0
2025-03-30,Juan Lopez,CONTADO,SANTIAGO DEL ESTERO,45.6,CABAÑA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,500.0,23250000.0
2025-08-08,Elena Sanchez,PLAN 36-60,ALTA GRACIA,46.4,CABAÑA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,59.0,21945000.0
2024-08-20,Lucia Lopez,CONTADO,SANTIAGO DEL ESTERO,50.1,CABAÑA,E.E,OBRA GRIS,LADRILLO,POTABLE,472.0,14884000.0
2024-08-11,Lucia Gonzalez,PLAN 36-60,BUENOS AIRES,66.9,MINIMALISTA,W.F,OBRA GRIS,,POTABLE,735.0,21846000.0
2025-02-15,Pedro Sanchez,CONTADO,CÓRDOBA CAPITAL,81.5,MINIMALISTA,W.F,LLAVE EN MANO,MADERA,POTABLE,24.0,34963000.0
2025-07-25,Pedro Martinez,PLAN 36-60,SANTIAGO DEL ESTERO,41.9,MINIMALISTA,W.F,LLAVE EN MANO,MADERA,POTABLE,486.0,20306000.0
2024-11-30,Jorge Romero,NO SABE,CÓRDOBA CAPITAL,62.6,MINIMALISTA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,29.0,27880000.0
2024-08-09,Ana Lopez,CONTADO,CÓRDOBA CAPITAL,52.3,MINIMALISTA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,16.0,23164000.0
2024-02-06,Luis Sanchez,CONTADO,CÓRDOBA CAPITAL,67.4,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,15.0,24323000.0
2024-10-04,Luis Martinez,PLAN 36-60,SANTIAGO DEL ESTERO,85.2,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,446.0,31847000.0
2024-07-14,Lucia Martinez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,50.2,CABAÑA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,466.0,17282000.0
2025-04-28,Maria Rodriguez,NO SABE,CÓRDOBA CAPITAL,21.6,MINIMALISTA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,24.0,7348000.0
2024-08-29,Carla Rodriguez,CONTADO,BUENOS AIRES,69.9,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,747.0,25308000.0
